You entered a buffer length of 64
-0.28, -0.62, 0.60, 0.30, -0.69, 0.38, 0.84, -0.58, 1.08, -0.36, -0.81, -0.20
-0.36, -0.62, 0.56, 0.29, -0.69, 0.39, 0.84, -0.58, 1.08, -0.36, -0.81, -0.12
-0.48, -0.58, 0.56, 0.27, -0.69, 0.40, 0.84, -0.58, 1.08, -0.48, -0.81, -0.12
-0.60, -0.58, 0.60, 0.25, -0.69, 0.41, 0.84, -0.58, 1.08, -0.60, -0.81, -0.12
-0.68, -0.62, 0.60, 0.22, -0.69, 0.42, 0.84, -0.58, 1.08, -0.68, -0.81, -0.12
-0.68, -0.65, 0.60, 0.20, -0.69, 0.43, 0.84, -0.58, 1.08, -0.68, -0.81, -0.12
-0.64, -0.65, 0.60, 0.18, -0.69, 0.45, 0.84, -0.58, 1.08, -0.68, -0.81, -0.12
-0.60, -0.65, 0.56, 0.16, -0.69, 0.46, 0.84, -0.58, 1.08, -0.68, -0.81, -0.12
-0.52, -0.65, 0.52, 0.14, -0.69, 0.47, 0.84, -0.58, 1.08, -0.68, -0.81, -0.12
-0.44, -0.62, 0.48, 0.12, -0.69, 0.47, 0.80, -0.58, 1.08, -0.68, -0.81, -0.12
-0.40, -0.58, 0.48, 0.10, -0.69, 0.48, 0.76, -0.58, 1.08, -0.68, -0.81, -0.08
-0.44, -0.58, 0.48, 0.08, -0.69, 0.49, 0.72, -0.58, 1.08, -0.68, -0.81, -0.08
-0.52, -0.58, 0.48, 0.06, -0.69, 0.50, 0.68, -0.58, 1.08, -0.68, -0.81, -0.08
-0.64, -0.58, 0.48, 0.04, -0.69, 0.51, 0.64, -0.58, 1.08, -0.68, -0.81, -0.08
-0.80, -0.58, 0.48, 0.02, -0.69, 0.52, 0.64, -0.58, 1.08, -0.80, -0.81, -0.08
-0.92, -0.58, 0.44, -0.01, -0.69, 0.53, 0.60, -0.58, 1.08, -0.92, -0.81, -0.08
-0.96, -0.58, 0.40, -0.03, -0.68, 0.53, 0.60, -0.58, 1.08, -0.96, -0.81, -0.04
-0.96, -0.58, 0.36, -0.06, -0.68, 0.54, 0.60, -0.58, 1.08, -0.96, -0.81, -0.04
-0.96, -0.58, 0.32, -0.08, -0.68, 0.55, 0.56, -0.58, 1.08, -0.96, -0.81, -0.04
-0.96, -0.58, 0.32, -0.10, -0.68, 0.55, 0.56, -0.58, 1.08, -0.96, -0.81, -0.04
-0.96, -0.58, 0.28, -0.13, -0.67, 0.56, 0.52, -0.58, 1.08, -0.96, -0.81, -0.04
-1.00, -0.58, 0.32, -0.15, -0.67, 0.56, 0.48, -0.58, 1.08, -1.00, -0.81, -0.04
-1.00, -0.58, 0.32, -0.18, -0.67, 0.57, 0.48, -0.58, 1.08, -1.00, -0.81, -0.04
-1.00, -0.58, 0.36, -0.20, -0.66, 0.57, 0.44, -0.58, 1.08, -1.00, -0.81, -0.04
-0.96, -0.58, 0.36, -0.22, -0.66, 0.58, 0.44, -0.58, 1.08, -1.00, -0.81, -0.04
-0.96, -0.58, 0.36, -0.24, -0.66, 0.59, 0.44, -0.58, 1.08, -1.00, -0.81, -0.04
-1.00, -0.54, 0.32, -0.26, -0.65, 0.59, 0.44, -0.54, 1.08, -1.00, -0.77, -0.04
-1.04, -0.54, 0.32, -0.29, -0.65, 0.60, 0.44, -0.54, 1.08, -1.04, -0.77, 0.00
-1.04, -0.50, 0.28, -0.31, -0.65, 0.60, 0.44, -0.50, 1.08, -1.04, -0.77, 0.00
-1.04, -0.50, 0.24, -0.33, -0.64, 0.60, 0.44, -0.50, 1.08, -1.04, -0.77, 0.08
-1.08, -0.50, 0.20, -0.36, -0.64, 0.61, 0.44, -0.50, 1.08, -1.08, -0.77, 0.16
-1.12, -0.54, 0.12, -0.38, -0.63, 0.61, 0.40, -0.50, 1.08, -1.12, -0.77, 0.12
-1.12, -0.54, 0.12, -0.40, -0.63, 0.60, 0.36, -0.50, 1.08, -1.12, -0.77, 0.12
-1.12, -0.54, 0.12, -0.43, -0.63, 0.60, 0.32, -0.50, 1.08, -1.12, -0.77, 0.12
-1.08, -0.54, 0.08, -0.45, -0.62, 0.60, 0.28, -0.50, 1.08, -1.12, -0.73, 0.08
-1.08, -0.54, 0.04, -0.47, -0.62, 0.59, 0.24, -0.50, 1.08, -1.12, -0.73, 0.04
-1.04, -0.54, 0.04, -0.49, -0.62, 0.58, 0.20, -0.50, 1.08, -1.12, -0.73, 0.04
-1.00, -0.54, 0.00, -0.51, -0.61, 0.58, 0.20, -0.50, 1.08, -1.12, -0.73, 0.00
-0.96, -0.54, -0.04, -0.53, -0.61, 0.57, 0.20, -0.50, 1.08, -1.12, -0.69, -0.04
-0.88, -0.50, -0.08, -0.54, -0.61, 0.55, 0.16, -0.50, 1.08, -1.12, -0.69, -0.08
-0.84, -0.54, -0.16, -0.56, -0.61, 0.54, 0.12, -0.50, 1.08, -1.12, -0.69, -0.16
-0.84, -0.54, -0.20, -0.57, -0.60, 0.52, 0.12, -0.50, 1.08, -1.12, -0.69, -0.20
-0.84, -0.58, -0.20, -0.59, -0.60, 0.50, 0.12, -0.50, 1.08, -1.12, -0.69, -0.20
-0.84, -0.58, -0.20, -0.60, -0.60, 0.48, 0.12, -0.50, 1.08, -1.12, -0.69, -0.20
-0.84, -0.58, -0.20, -0.62, -0.60, 0.47, 0.12, -0.50, 1.08, -1.12, -0.69, -0.20
-0.88, -0.58, -0.20, -0.63, -0.60, 0.45, 0.12, -0.50, 1.08, -1.12, -0.69, -0.20
-0.92, -0.54, -0.20, -0.65, -0.60, 0.43, 0.12, -0.50, 1.08, -1.12, -0.69, -0.20
-0.96, -0.54, -0.24, -0.67, -0.59, 0.41, 0.08, -0.50, 1.08, -1.12, -0.69, -0.24
-0.96, -0.54, -0.28, -0.68, -0.59, 0.39, 0.00, -0.50, 1.04, -1.12, -0.69, -0.28
