,time(ms),a_x, a_y, a_z
,1627,0.040000, -0.538462, 0.800000
,1635,0.040000, -0.538462, 0.800000
,1648,0.000000, -0.576923, 0.800000
,1656,-0.040000, -0.615385, 0.760000
,1666,-0.080000, -0.615385, 0.720000
,1676,-0.080000, -0.653846, 0.640000
,1687,-0.040000, -0.653846, 0.640000
,1697,0.000000, -0.653846, 0.600000
,1707,0.040000, -0.653846, 0.600000
,1721,0.040000, -0.653846, 0.600000
,1728,0.040000, -0.653846, 0.600000
,1736,0.040000, -0.653846, 0.600000
,1746,0.040000, -0.653846, 0.640000
,1760,0.040000, -0.615385, 0.720000
,1767,0.040000, -0.615385, 0.720000
,1777,0.040000, -0.615385, 0.720000
,1791,0.000000, -0.615385, 0.720000
,1801,0.000000, -0.615385, 0.760000
,1808,0.040000, -0.615385, 0.840000
,1822,0.040000, -0.615385, 0.760000
,1832,0.040000, -0.615385, 0.720000
,1840,0.040000, -0.615385, 0.720000
,1847,0.040000, -0.615385, 0.720000
,1861,0.040000, -0.615385, 0.720000
,1871,0.000000, -0.576923, 0.720000
,1881,0.000000, -0.576923, 0.720000
,1892,-0.040000, -0.538462, 0.760000
,1902,0.040000, -0.500000, 0.840000
,1912,0.080000, -0.461538, 0.920000
,1920,0.080000, -0.461538, 0.960000
,1933,0.080000, -0.461538, 0.920000
,1941,0.080000, -0.461538, 0.920000
,1951,0.080000, -0.461538, 0.920000
,1961,0.040000, -0.423077, 0.880000
,1972,0.040000, -0.423077, 0.840000
,1982,0.040000, -0.461538, 0.800000
,1990,0.040000, -0.461538, 0.800000
,2006,0.000000, -0.423077, 0.760000
,2012,-0.040000, -0.384615, 0.760000
,2023,-0.040000, -0.384615, 0.760000
,2031,0.000000, -0.346154, 0.800000
,2041,0.080000, -0.307692, 0.840000
,2055,0.120000, -0.230769, 0.920000
,2062,0.120000, -0.192308, 0.960000
,2072,0.080000, -0.153846, 1.000000
,2086,0.080000, -0.153846, 1.040000
,2096,0.040000, -0.153846, 1.040000
,2103,0.040000, -0.153846, 1.040000
,2111,0.040000, -0.153846, 1.000000
,2127,-0.040000, -0.153846, 0.960000
,2135,-0.040000, -0.153846, 0.960000
,2142,-0.040000, -0.115385, 0.920000
,2156,-0.040000, -0.076923, 0.920000
,2166,-0.040000, -0.038462, 0.920000
,2176,-0.080000, -0.038462, 0.960000
,2183,-0.040000, 0.038462, 1.000000
,2201,0.000000, 0.076923, 1.040000
,2207,-0.040000, 0.076923, 1.080000
,2219,-0.040000, 0.115385, 1.120000
,2230,0.000000, 0.115385, 1.080000
,2236,0.000000, 0.076923, 1.000000
,2248,0.000000, 0.076923, 0.960000
,2256,0.000000, 0.076923, 0.920000
,2267,0.040000, 0.115385, 0.880000
,2277,0.000000, 0.115385, 0.880000
,2287,0.000000, 0.115385, 0.880000
,2301,-0.040000, 0.115385, 0.880000
,2308,-0.080000, 0.192308, 0.880000
,2316,-0.120000, 0.230769, 0.920000
,2332,-0.080000, 0.307692, 1.000000
,2340,-0.040000, 0.307692, 1.000000
,2347,0.000000, 0.307692, 1.040000
,2357,0.000000, 0.307692, 1.040000
,2371,0.000000, 0.307692, 1.000000
,2381,-0.040000, 0.307692, 0.960000
,2388,-0.040000, 0.269231, 0.920000
,2396,-0.040000, 0.269231, 0.920000
,2412,0.000000, 0.307692, 0.920000
,2421,0.000000, 0.346154, 0.920000
,2429,0.000000, 0.384615, 0.920000
,2442,0.000000, 0.384615, 0.960000
,2450,0.000000, 0.423077, 1.040000
,2460,0.040000, 0.423077, 1.080000
,2468,0.040000, 0.423077, 1.040000
,2481,0.040000, 0.461538, 1.000000
,2491,0.040000, 0.423077, 0.920000
,2501,0.040000, 0.461538, 0.880000
,2513,0.000000, 0.423077, 0.840000
,2522,0.000000, 0.384615, 0.840000
,2530,0.000000, 0.384615, 0.840000
,2546,0.000000, 0.384615, 0.840000
,2554,0.000000, 0.384615, 0.840000
,2561,-0.040000, 0.384615, 0.840000
,2571,-0.040000, 0.461538, 0.880000
,2585,-0.040000, 0.500000, 0.920000
,2593,0.000000, 0.500000, 0.960000
,2602,0.080000, 0.538462, 0.960000
,2610,0.080000, 0.538462, 0.960000
,2626,0.040000, 0.538462, 0.920000
,2634,0.000000, 0.500000, 0.920000
,2641,-0.040000, 0.500000, 0.880000
,2655,-0.040000, 0.461538, 0.880000
,2665,-0.040000, 0.461538, 0.840000
