,time(ms),a_x, a_y, a_z
,1602,-0.040000, -1.038462, -0.040000
,1609,-0.040000, -1.000000, -0.040000
,1619,0.000000, -1.038462, -0.040000
,1633,-0.040000, -1.000000, 0.000000
,1643,-0.040000, -1.000000, 0.000000
,1650,0.000000, -1.000000, -0.040000
,1664,-0.040000, -1.000000, 0.000000
,1674,-0.040000, -1.000000, -0.040000
,1682,-0.040000, -1.000000, 0.000000
,1689,-0.040000, -1.000000, -0.040000
,1703,0.000000, -1.000000, 0.000000
,1713,-0.040000, -1.000000, 0.000000
,1723,0.000000, -1.000000, -0.040000
,1734,-0.040000, -1.038462, -0.040000
,1744,0.000000, -1.000000, -0.040000
,1754,-0.040000, -1.000000, -0.040000
,1762,-0.040000, -1.038462, -0.040000
,1775,-0.040000, -1.000000, 0.000000
,1783,-0.040000, -1.038462, 0.000000
,1793,0.000000, -1.000000, -0.040000
,1807,-0.040000, -1.000000, -0.040000
,1814,-0.040000, -1.000000, -0.040000
,1824,-0.040000, -1.038462, -0.040000
,1838,-0.040000, -1.000000, 0.000000
,1848,-0.040000, -1.000000, 0.000000
,1855,-0.040000, -1.000000, 0.000000
,1863,0.000000, -1.000000, -0.040000
,1877,-0.040000, -1.000000, -0.040000
,1887,-0.040000, -1.038462, -0.040000
,1894,0.000000, -1.000000, -0.040000
,1904,-0.040000, -1.038462, -0.040000
,1918,-0.040000, -1.000000, 0.000000
,1928,-0.040000, -1.000000, -0.040000
,1935,0.000000, -1.000000, -0.040000
,1949,-0.040000, -1.000000, 0.000000
,1957,-0.040000, -1.000000, -0.040000
,1967,0.000000, -1.000000, -0.040000
,1975,-0.040000, -1.000000, -0.040000
,1988,-0.040000, -1.000000, 0.000000
,1998,-0.040000, -1.000000, -0.040000
,2008,0.000000, -1.000000, -0.040000
,2021,0.000000, -1.000000, -0.040000
,2029,-0.040000, -1.000000, 0.000000
,2039,-0.040000, -1.000000, 0.000000
,2049,-0.040000, -1.000000, 0.000000
,2062,0.000000, -1.000000, 0.000000
,2070,0.000000, -1.000000, -0.040000
,2078,-0.040000, -1.000000, 0.000000
,2088,-0.040000, -1.038462, -0.040000
,2102,0.000000, -1.000000, 0.000000
,2109,-0.040000, -1.000000, -0.040000
,2119,0.000000, -1.000000, 0.000000
,2133,-0.040000, -1.000000, -0.040000
,2143,0.000000, -1.038462, -0.040000
,2150,0.000000, -1.000000, -0.040000
,2158,-0.040000, -1.000000, -0.040000
,2174,-0.040000, -1.000000, 0.000000
,2182,-0.040000, -1.038462, -0.040000
,2189,0.000000, -1.000000, 0.000000
,2203,-0.040000, -1.000000, -0.040000
,2213,-0.040000, -1.038462, -0.040000
,2223,-0.040000, -1.038462, -0.040000
,2234,-0.040000, -1.000000, 0.000000
,2244,-0.040000, -1.000000, 0.000000
,2252,-0.040000, -1.000000, -0.040000
,2262,0.000000, -1.000000, -0.040000
,2275,-0.040000, -1.000000, 0.000000
,2283,-0.040000, -1.000000, -0.040000
,2293,-0.040000, -1.000000, -0.040000
,2307,0.000000, -1.000000, 0.000000
,2314,0.000000, -1.038462, 0.000000
,2323,0.000000, -1.000000, 0.000000
,2335,0.000000, -1.000000, 0.000000
,2347,0.000000, -1.038462, 0.000000
,2358,0.000000, -1.000000, -0.040000
,2368,-0.040000, -1.038462, -0.040000
,2376,-0.040000, -1.000000, -0.040000
,2384,-0.040000, -1.038462, -0.040000
,2397,-0.040000, -1.000000, 0.000000
,2405,-0.040000, -1.000000, -0.040000
,2413,0.000000, -1.000000, -0.040000
,2429,-0.040000, -1.000000, 0.000000
,2436,-0.040000, -1.038462, -0.040000
,2444,0.000000, -1.000000, -0.040000
,2454,-0.040000, -1.000000, -0.040000
,2468,-0.040000, -1.000000, 0.000000
,2477,-0.040000, -1.038462, -0.040000
,2485,0.000000, -1.000000, -0.040000
,2499,-0.040000, -1.000000, -0.040000
,2509,-0.040000, -1.038462, -0.040000
,2517,-0.040000, -1.000000, -0.040000
,2524,-0.040000, -1.000000, -0.040000
,2538,-0.040000, -1.000000, 0.000000
,2548,-0.040000, -1.038462, -0.040000
,2558,0.000000, -1.000000, -0.040000
,2569,-0.040000, -1.000000, -0.040000
,2579,-0.040000, -1.000000, -0.040000
,2589,-0.040000, -1.000000, -0.040000
,2602,-0.040000, -1.000000, 0.000000
,2610,-0.040000, -1.000000, 0.000000
,2618,-0.040000, -1.000000, 0.000000
,2628,0.000000, -1.000000, 0.000000
,2642,-0.040000, -1.000000, -0.040000
,2649,-0.040000, -1.038462, -0.040000
,2659,-0.040000, -1.000000, -0.040000
,2673,-0.040000, -1.000000, 0.000000
,2683,-0.040000, -1.000000, 0.000000
,2690,-0.040000, -1.038462, -0.040000
,2698,0.000000, -1.000000, -0.040000
,2714,-0.040000, -1.038462, -0.040000
,2722,-0.040000, -1.000000, -0.040000
,2729,0.000000, -1.000000, -0.040000
,2739,-0.040000, -1.038462, -0.040000
,2753,-0.040000, -1.000000, 0.000000
,2763,-0.040000, -1.000000, -0.040000
,2770,0.000000, -1.000000, -0.040000
,2784,-0.040000, -1.000000, 0.000000
,2792,-0.040000, -1.038462, -0.040000
,2802,0.000000, -1.038462, 0.000000
,2810,-0.040000, -1.000000, -0.040000
,2823,-0.040000, -1.000000, 0.000000
,2833,-0.040000, -1.000000, 0.000000
,2843,0.000000, -1.000000, -0.040000
,2854,-0.040000, -1.038462, -0.040000
,2864,-0.040000, -1.000000, -0.040000
,2872,-0.040000, -1.038462, -0.040000
,2888,-0.040000, -1.000000, 0.000000
,2895,-0.040000, -1.000000, 0.000000
,2903,-0.040000, -1.000000, 0.000000
,2913,0.000000, -1.000000, -0.040000
