,time(ms),a_x, a_y, a_z
,70,-0.040000, 1.000000, -0.040000
,86,0.000000, 1.000000, 0.000000
,94,-0.040000, 1.038462, 0.000000
,103,0.000000, 1.000000, 0.000000
,111,-0.040000, 1.000000, -0.040000
,125,-0.040000, 1.000000, 0.000000
,135,-0.040000, 1.000000, -0.040000
,142,-0.040000, 1.000000, 0.000000
,156,0.000000, 1.000000, -0.040000
,166,0.000000, 1.000000, 0.000000
,174,-0.040000, 1.000000, -0.040000
,187,-0.040000, 1.000000, -0.040000
,197,-0.040000, 1.000000, -0.040000
,205,-0.040000, 1.000000, 0.000000
,215,-0.040000, 1.038462, 0.000000
,228,-0.040000, 1.000000, -0.040000
,236,0.000000, 1.000000, -0.040000
,244,-0.040000, 1.000000, -0.040000
,260,-0.040000, 1.000000, -0.040000
,267,-0.040000, 1.000000, -0.040000
,275,-0.040000, 1.000000, 0.000000
,285,-0.040000, 1.000000, 0.000000
,299,-0.040000, 1.000000, -0.040000
,309,0.000000, 1.000000, -0.040000
,316,-0.040000, 1.000000, -0.040000
,330,-0.040000, 1.000000, -0.040000
,338,-0.040000, 1.038462, 0.000000
,355,0.000000, 1.038462, -0.040000
,357,0.000000, 1.000000, -0.040000
,365,0.000000, 1.000000, -0.040000
,385,-0.040000, 1.000000, 0.000000
,389,-0.040000, 1.000000, -0.040000
,400,-0.040000, 1.000000, -0.040000
,408,-0.040000, 1.000000, -0.040000
,418,-0.040000, 1.000000, -0.040000
,432,-0.040000, 1.038462, 0.000000
,439,-0.040000, 1.038462, 0.000000
,449,0.000000, 1.000000, 0.000000
,457,0.000000, 1.038462, 0.000000
,471,-0.040000, 1.000000, -0.040000
,480,-0.040000, 1.000000, -0.040000
,488,-0.040000, 1.000000, 0.000000
,504,-0.040000, 1.000000, 0.000000
,512,-0.040000, 1.000000, 0.000000
,519,0.000000, 1.000000, 0.000000
,529,0.000000, 1.038462, -0.040000
,543,-0.040000, 1.000000, -0.040000
,551,-0.040000, 1.000000, -0.040000
,560,-0.040000, 1.000000, -0.040000
,574,-0.040000, 1.000000, 0.000000
,584,-0.040000, 1.038462, 0.000000
,596,0.000000, 1.000000, -0.040000
,600,-0.040000, 1.000000, -0.040000
,613,-0.040000, 1.000000, -0.040000
,623,-0.040000, 1.000000, -0.040000
,631,-0.040000, 1.000000, 0.000000
,644,0.000000, 1.000000, 0.000000
,654,0.000000, 1.000000, -0.040000
,662,-0.040000, 1.000000, -0.040000
,676,-0.040000, 1.000000, -0.040000
,685,-0.040000, 1.000000, 0.000000
,693,-0.040000, 1.000000, 0.000000
,703,-0.040000, 1.000000, 0.000000
,717,0.000000, 1.000000, -0.040000
,725,-0.040000, 1.000000, -0.040000
,734,-0.040000, 1.000000, -0.040000
,748,-0.040000, 1.000000, -0.040000
,756,-0.040000, 1.000000, 0.000000
,766,-0.040000, 1.000000, -0.040000
,773,-0.040000, 1.000000, -0.040000
,789,-0.040000, 1.000000, 0.000000
,797,-0.040000, 1.038462, 0.000000
,805,0.000000, 1.000000, -0.040000
,814,0.000000, 1.038462, -0.040000
,826,0.000000, 1.038462, -0.040000
,836,-0.040000, 1.000000, -0.040000
,850,-0.040000, 1.000000, -0.040000
,857,-0.040000, 1.038462, 0.000000
,865,-0.040000, 1.038462, 0.000000
,875,0.000000, 1.000000, -0.040000
,889,0.000000, 1.038462, -0.040000
,898,0.000000, 1.038462, -0.040000
,906,-0.040000, 1.000000, -0.040000
,922,-0.040000, 1.000000, -0.040000
,930,-0.040000, 1.038462, 0.000000
,937,-0.040000, 1.038462, 0.000000
,945,0.000000, 1.000000, -0.040000
,961,-0.040000, 1.000000, -0.040000
,969,-0.040000, 1.000000, -0.040000
,978,-0.040000, 1.000000, -0.040000
,990,-0.040000, 1.000000, 0.000000
,1000,-0.040000, 1.038462, 0.000000
,1008,0.000000, 1.038462, -0.040000
,1016,0.000000, 1.038462, -0.040000
,1029,0.000000, 1.038462, -0.040000
,1039,-0.040000, 1.000000, -0.040000
,1053,-0.040000, 1.000000, -0.040000
,1060,-0.040000, 1.000000, -0.040000
,1070,-0.040000, 1.000000, 0.000000
,1078,-0.040000, 1.038462, 0.000000
,1094,0.000000, 1.000000, -0.040000
,1101,0.000000, 1.000000, -0.040000
,1109,0.000000, 1.000000, -0.040000
,1123,-0.040000, 1.000000, -0.040000
,1133,-0.040000, 1.000000, -0.040000
,1141,-0.040000, 1.000000, -0.040000
,1150,-0.040000, 1.000000, 0.000000
,1164,-0.040000, 1.000000, 0.000000
,1174,0.000000, 1.038462, -0.040000
,1182,0.000000, 1.038462, 0.000000
,1189,-0.040000, 1.000000, -0.040000
,1203,-0.040000, 1.000000, -0.040000
,1213,-0.040000, 1.000000, -0.040000
,1223,-0.040000, 1.000000, 0.000000
,1234,0.000000, 1.000000, -0.040000
,1244,0.000000, 1.000000, -0.040000
,1254,-0.040000, 1.038462, -0.040000
,1262,-0.040000, 1.000000, -0.040000
,1275,-0.040000, 1.000000, 0.000000
,1283,-0.040000, 1.000000, -0.040000
,1293,0.000000, 1.000000, 0.000000
,1307,0.000000, 1.000000, -0.040000
,1314,0.000000, 1.000000, -0.040000
,1324,-0.040000, 1.000000, -0.040000
,1338,-0.040000, 1.000000, -0.040000
,1346,-0.040000, 1.000000, -0.040000
,1355,-0.040000, 1.000000, -0.040000
,1363,-0.040000, 1.000000, 0.000000
,1379,-0.040000, 1.000000, -0.040000
,1387,0.000000, 1.000000, -0.040000
,1394,-0.040000, 1.038462, -0.040000
,1408,-0.040000, 1.000000, 0.000000
,1418,-0.040000, 1.000000, -0.040000
,1426,-0.040000, 1.000000, 0.000000
,1435,-0.040000, 1.038462, 0.000000
,1449,0.000000, 1.000000, -0.040000
,1459,0.000000, 1.000000, -0.040000
,1467,-0.040000, 1.000000, -0.040000
,1480,-0.040000, 1.000000, -0.040000
,1488,-0.040000, 1.000000, -0.040000
,1498,-0.040000, 1.000000, -0.040000
,1506,-0.040000, 1.000000, 0.000000
,1519,0.000000, 1.000000, -0.040000
,1529,0.000000, 1.000000, -0.040000
,1539,0.000000, 1.038462, -0.040000
,1547,-0.040000, 1.000000, -0.040000
,1560,-0.040000, 1.000000, -0.040000
,1568,-0.040000, 1.000000, -0.040000
,1578,-0.040000, 1.000000, 0.000000
,1592,0.000000, 1.000000, -0.040000
,1600,0.000000, 1.000000, -0.040000
,1609,0.000000, 1.038462, -0.040000
,1621,-0.040000, 1.000000, -0.040000
,1631,-0.040000, 1.000000, -0.040000
,1646,-0.040000, 1.000000, -0.040000
,1658,0.000000, 1.000000, 0.000000
,1660,-0.040000, 1.000000, 0.000000
,1672,-0.040000, 1.038462, 0.000000
,1680,-0.040000, 1.000000, -0.040000
,1689,0.000000, 1.000000, -0.040000
,1703,-0.040000, 1.000000, -0.040000
,1711,-0.040000, 1.000000, -0.040000
,1721,-0.040000, 1.000000, -0.040000
,1734,-0.040000, 1.038462, 0.000000
,1742,0.000000, 1.038462, -0.040000
,1752,-0.040000, 1.000000, -0.040000
,1762,-0.040000, 1.000000, -0.040000
,1773,-0.040000, 1.038462, 0.000000
,1783,0.000000, 1.038462, -0.040000
,1791,-0.040000, 1.000000, -0.040000
,1805,0.000000, 1.000000, -0.040000
,1814,-0.040000, 1.000000, -0.040000
,1822,-0.040000, 1.000000, 0.000000
,1836,-0.040000, 1.000000, -0.040000
,1846,0.000000, 1.000000, -0.040000
,1853,0.000000, 1.038462, -0.040000
,1863,-0.040000, 1.000000, -0.040000
,1877,-0.040000, 1.000000, -0.040000
,1885,-0.040000, 1.000000, -0.040000
,1894,0.000000, 1.000000, 0.000000
,1908,0.000000, 1.000000, -0.040000
,1916,-0.040000, 1.000000, -0.040000
,1926,-0.040000, 1.000000, -0.040000
,1939,-0.040000, 1.000000, -0.040000
,1947,-0.040000, 1.000000, -0.040000
,1957,-0.040000, 1.000000, -0.040000
,1965,-0.040000, 1.000000, 0.000000
,1978,0.000000, 1.000000, -0.040000
,1986,-0.040000, 1.000000, -0.040000
,2004,-0.040000, 1.000000, -0.040000
,2008,-0.040000, 1.000000, 0.000000
,2019,-0.040000, 1.000000, 0.000000
,2029,-0.040000, 1.000000, -0.040000
,2037,-0.040000, 1.000000, -0.040000
,2047,-0.040000, 1.000000, 0.000000
,2060,0.000000, 1.000000, -0.040000
,2068,0.000000, 1.000000, -0.040000
,2078,-0.040000, 1.000000, -0.040000
,2092,-0.040000, 1.000000, -0.040000
